label,key,start,mid,end,pi,xsi,pi2,fwh,theta_W,tajima,KZl,sites
real,d.65001-66000,65001,65500,66000,0.00789338270845,0.750477374362,0.253195005542,0.00791566623107,0.00784496364232,0.0199696899417,-0.00482767772695,977043
real,u.95001-96000,-95001,-95501,-96000,0.00765978969473,0.757396835551,0.248051520264,0.00776463910057,0.00779177124383,-0.0548032433151,-0.0228695009031,716413
real,d.79001-80000,79001,79500,80000,0.00794072512604,0.753687976037,0.25660456868,0.00806611212317,0.0079717195567,-0.0125795394459,-0.026732013991,747381
real,u.91001-92000,-91001,-91501,-92000,0.00775369363485,0.752641761088,0.248637539671,0.00775075503315,0.00783487026538,-0.0335222175268,0.000637441879295,766303
real,u.53001-54000,-53001,-53501,-54000,0.00793020529867,0.748795113685,0.250890717831,0.00783885577496,0.00792461176685,0.00228385419593,0.0195924909554,1429821
real,d.48001-49000,48001,48500,49000,0.00799526082786,0.751040628806,0.252234080287,0.00802935523994,0.00788913823884,0.0435246526179,-0.00734533205667,1297818
real,u.58001-59000,-58001,-58501,-59000,0.00780318207184,0.749804490489,0.248388723066,0.0077126509908,0.00785525698529,-0.0214498983132,0.0195882276079,1304803
real,d.42001-43000,42001,42500,43000,0.00792971434482,0.756287928732,0.24904414545,0.00803851594061,0.00792524837038,0.00182332646243,-0.0233337566739,1470054
real,u.89001-90000,-89001,-89501,-90000,0.00774204980436,0.756775669056,0.245806834286,0.00775539077151,0.00784408476759,-0.042086422422,-0.00289053780833,789671
real,u.92001-93000,-92001,-92501,-93000,0.00776937999159,0.751548153846,0.244787508834,0.00763165724495,0.00781514957305,-0.0189483754769,0.0299501314485,752441
real,u.40001-41000,-40001,-40501,-41000,0.00805004816356,0.747812544487,0.250137386309,0.0079226547565,0.00794326028403,0.0435001592425,0.0272594923734,1892692
real,d.2001-3000,2001,2500,3000,0.00747704916594,0.752724146935,0.249593948443,0.00743741518128,0.00765598791819,-0.0756293047335,0.00879948995584,12954539
real,u.6001-7000,-6001,-6501,-7000,0.00771059948878,0.751799380652,0.248758808448,0.00764240077227,0.00777563458261,-0.0270643127592,0.0149083399303,8268767
real,d.45001-46000,45001,45500,46000,0.00795897360803,0.751627568746,0.248915203762,0.00792540036116,0.00790173071817,0.0234400526951,0.00722156579894,1387977
real,u.70001-71000,-70001,-70501,-71000,0.00793226182658,0.746974039133,0.247209224224,0.00773080984251,0.00788028298326,0.0213419841998,0.0434489917436,1072575
real,d.62001-63000,62001,62500,63000,0.00789353193486,0.75478495734,0.247293209761,0.00790266656735,0.00790438839605,-0.00444393715221,-0.00196413096304,1016442
