,dist,sites,pi,xsi,pi2,theta_w,fwh,tajima,t1,t2,div
62,-5051,587467.0,0.00841670569088,0.767836325358,0.24708183176,0.0095222102964,0.00789182752429,-0.487318898972,0.011058,0.152925,0.0210650128586
47,-4951,610630.0,0.00838057674688,0.770210428553,0.250966232028,0.00944073710914,0.00806258810047,-0.471365241971,0.011208,0.152713,0.0213582692809
72,-4851,631823.0,0.00844851035479,0.768716163166,0.253939375629,0.0095590381681,0.00808433444077,-0.48765117121,0.011109,0.153975,0.0211293344164
17,-4751,655523.0,0.00852852969068,0.770690355358,0.253937591191,0.00961504995236,0.00830242171438,-0.474331731771,0.011082,0.152613,0.0210793515208
80,-4651,686627.0,0.00838883411226,0.773528451353,0.252872876152,0.00948655508677,0.00827809042081,-0.485714099093,0.011082,0.152384,0.0210842288608
40,-4551,720135.0,0.00841356134614,0.76836450046,0.245664900298,0.00950857614192,0.00790757107458,-0.483396831407,0.010986,0.153645,0.0209224641907
1,-4451,750103.0,0.0084419774772,0.770683746854,0.245407385608,0.00958112351583,0.00796275558844,-0.499073060262,0.011058,0.152580,0.0210517753815
69,-4351,780312.0,0.00837181996297,0.769480335111,0.250462412339,0.00940417867999,0.00803103843942,-0.460799176259,0.011250,0.152803,0.0214170739986
88,-4251,815307.0,0.00840151720698,0.769749606776,0.258896472833,0.00943821211238,0.00826299102831,-0.461067885851,0.011125,0.152233,0.0211993758302
34,-4151,850594.0,0.00849980626542,0.766959387676,0.255419977903,0.00954473042282,0.00816037677695,-0.459543445879,0.011166,0.152878,0.0212815997444
99,-4051,891364.0,0.00844821148145,0.76880514111,0.250141200902,0.00957238010445,0.00806494541636,-0.492967865326,0.011113,0.152481,0.0211226867363
46,-3951,934843.0,0.00844238579436,0.776330985557,0.251507131354,0.00957402021959,0.00828665183757,-0.496158428349,0.010942,0.152513,0.0208334443206
85,-3851,979249.0,0.00830647288193,0.773000376925,0.246380374457,0.00942972470051,0.00799974094348,-0.500020266,0.011085,0.152698,0.021087588886
15,-3751,1023569.0,0.00826074975739,0.774050145448,0.24967860447,0.00934444237556,0.00802276641191,-0.486814186428,0.011159,0.152321,0.0212198683889
63,-3651,1071057.0,0.00831317985288,0.770155578485,0.252448524246,0.00941936530576,0.00800683048988,-0.492967478573,0.010972,0.152239,0.0209055168511
4,-3551,1121720.0,0.00830679201302,0.772892914935,0.245556824622,0.0093869425696,0.00797208264413,-0.483029016149,0.010943,0.151579,0.0208519054844
