,dist,sites,pi,xsi,pi2,theta_w,fwh,tajima,t1,t2,div
16,-100501,651008.0,0.00814080059813,0.772698095716,0.247389505854,0.00926737792993,0.00784164450045,-0.510267741358,0.010494,0.146004,0.0200304743152
190,-99501,648233.0,0.00821732633985,0.774926115139,0.257825850719,0.00933140069955,0.008120235024,-0.501142732085,0.010545,0.145878,0.0200869127937
64,-98501,663802.0,0.00818420965415,0.768460139472,0.246806661172,0.00927941860241,0.00770866663315,-0.495417240076,0.010477,0.146224,0.0199592641691
59,-97501,672174.0,0.00811418190121,0.767746229422,0.249608996297,0.00923806566218,0.00764926748635,-0.510664422567,0.010496,0.146151,0.0199888704532
103,-96501,672260.0,0.0081405455596,0.771768637313,0.246082664498,0.00934002837134,0.00769952665369,-0.539065532763,0.010776,0.148034,0.0205649610017
121,-95501,688467.0,0.0082925428601,0.768293284036,0.252325011957,0.00936048486719,0.00787517404351,-0.478901457552,0.010735,0.147654,0.0204338042913
125,-94501,701900.0,0.00805758805048,0.770859628925,0.245348243285,0.00919981612366,0.0076319436297,-0.521159431237,0.010424,0.146124,0.019813363405
127,-93501,707988.0,0.00810288785745,0.773664429965,0.248570933915,0.00920909110186,0.00779749208417,-0.504214671628,0.010557,0.146952,0.0201246352071
198,-92501,717375.0,0.00833146431159,0.766539405364,0.246855363477,0.00941785359921,0.00784469025926,-0.484208386475,0.010489,0.147461,0.0200090592828
100,-91501,719918.0,0.00833379269364,0.772544585921,0.250725040831,0.00945819414538,0.00808764584388,-0.49901345049,0.010510,0.146163,0.0200231139171
181,-90501,729265.0,0.00843060081762,0.775648861657,0.253216714562,0.00949853031545,0.00825155769021,-0.471939059044,0.010525,0.146854,0.0200174151084
31,-89501,744235.0,0.00838344425024,0.766221560579,0.259636260002,0.00942184972927,0.00801223336771,-0.46262705118,0.010445,0.145923,0.0198821619435
128,-88501,748536.0,0.00819206107866,0.768568168594,0.256345323491,0.00922160714231,0.00784440999948,-0.468639382392,0.010453,0.145556,0.019901515378
113,-87501,747489.0,0.00835873592507,0.773279671945,0.252453960065,0.00946831870864,0.00812100224562,-0.491912006874,0.010495,0.146980,0.0199829002648
9,-86501,759082.0,0.0082876491119,0.772817217774,0.248611630549,0.00936716036975,0.00787654469394,-0.483748887043,0.010380,0.146053,0.0197488533966
67,-85501,776253.0,0.00813734290509,0.77183664329,0.260215276123,0.0092064341627,0.00799285132825,-0.487443492385,0.010348,0.145932,0.0197100700017
41,-84501,781102.0,0.00826166108908,0.769187165558,0.249672547665,0.00941234958446,0.00791399533938,-0.513170553768,0.010550,0.146913,0.0201215735525
197,-83501,792381.0,0.00818302519143,0.771006441563,0.241282614795,0.00925738347843,0.00768083820151,-0.487150111842,0.010459,0.146373,0.0199664062061
63,-82501,804339.0,0.00833605704743,0.768052177806,0.250347506841,0.00935665016319,0.00796587627042,-0.457862523214,0.010640,0.146401,0.0202650850015
55,-81501,799511.0,0.00831282463511,0.768131881703,0.252842194472,0.00933735329354,0.00792180511522,-0.460577675101,0.010502,0.146790,0.0200072283971
17,-80501,810473.0,0.00823734704107,0.769987767144,0.247379323768,0.00931052777582,0.00778864074656,-0.483839719283,0.010445,0.146542,0.0199068918027
89,-79501,827433.0,0.00836877426934,0.76657205258,0.250602779303,0.00940583932715,0.00785660887639,-0.462820390125,0.010369,0.146930,0.0197296932211
148,-78501,839307.0,0.00832634918795,0.768935342096,0.254087803515,0.00936109618994,0.00798451449238,-0.463993433453,0.010306,0.145947,0.0196269060916
11,-77501,855063.0,0.00841760074681,0.768430072373,0.253617095443,0.00948528495623,0.00813758423685,-0.472495718425,0.010402,0.146923,0.0197938627376
65,-76501,875464.0,0.00844630600699,0.764190516053,0.253499822884,0.00942040217789,0.00797471338194,-0.434048624118,0.010341,0.147961,0.0196946965346
166,-75501,875027.0,0.00831507575135,0.768847663613,0.251730812359,0.00936068149885,0.00799544579274,-0.468884914125,0.010360,0.147069,0.0197033926382
35,-74501,889398.0,0.00848315377368,0.764816113637,0.25203486718,0.00946994019642,0.00794974380329,-0.437403850932,0.010337,0.146511,0.0196661091176
192,-73501,910279.0,0.00822867436652,0.768485139417,0.249548377432,0.00927933815614,0.00780769230163,-0.475284365781,0.010445,0.146107,0.0198895044541
154,-72501,919734.0,0.00817865760501,0.769748837474,0.24934091325,0.009278950476,0.00772444899114,-0.497756035605,0.010465,0.145355,0.0199601160596
86,-71501,927381.0,0.00810008309195,0.771098194842,0.242161574907,0.00930577821318,0.00763731647522,-0.543866425953,0.010452,0.145810,0.0199012058065
85,-70501,961435.0,0.00829016823263,0.771221230799,0.251841341244,0.00936198735668,0.00802998532161,-0.480576117446,0.010348,0.146089,0.0196778759604
165,-69501,974053.0,0.00810650798371,0.768329185806,0.244791573508,0.00916286833334,0.0076493831384,-0.483937329797,0.010382,0.146027,0.0198161709507
50,-68501,977832.0,0.00812845474263,0.767572659354,0.247736638141,0.00920009831021,0.00768139114695,-0.488952431747,0.010326,0.146993,0.0196966356174
161,-67501,1007778.0,0.00816850223175,0.771147335424,0.248139256655,0.00924501045778,0.00778072530364,-0.488787055751,0.010459,0.147588,0.0199160923914
49,-66501,1021854.0,0.00816566853252,0.769874958795,0.248136798656,0.0092180670505,0.00775870794293,-0.479237099345,0.010648,0.146775,0.0202925276625
174,-65501,1030298.0,0.00811169502211,0.763475367445,0.248220436093,0.00914744310951,0.00752486523562,-0.475296377257,0.010265,0.145591,0.0195788000578
57,-64501,1061888.0,0.00805822419968,0.766848319597,0.249509968359,0.00908023791696,0.00761712947267,-0.472465634225,0.010299,0.145710,0.0196414303571
131,-63501,1083189.0,0.00818332184921,0.768010735967,0.248258047118,0.00923033468849,0.00773720717874,-0.47615273512,0.010402,0.146203,0.01980817816
